Costo Total,Proveedor,Modelo,Nivel Servicio,z,Nivel Servicio Num,Costo Total Num
"2610268,8",0,1,1,"1,64",1,2610268.8
5563142,2,1,1,"1,64",1,5563142
2738586,0,1,1,"1,64",1,2738586
"2803751,2",0,1,1,"1,64",1,2803751.2
5994979,2,1,1,"1,64",1,5994979
2573693,1,1,1,"1,64",1,2573693
2461719,1,1,1,"1,64",1,2461719
5678253,2,1,1,"1,64",1,5678253
"2990050,4",0,1,1,"1,64",1,2990050.4
2640955,1,1,1,"1,64",1,2640955
6372942,2,1,1,"1,64",1,6372942
"3067184,2",0,1,1,"1,64",1,3067184.2
2707977,1,1,1,"1,64",1,2707977
3063820,0,1,1,"1,64",1,3063820
6459408,2,1,1,"1,64",1,6459408
"6706700,5",2,1,1,"1,64",1,6706700.5
2822459,1,1,1,"1,64",1,2822459
"3275526,4",0,1,1,"1,64",1,3275526.4
2952129,1,1,1,"1,64",1,2952129
"6969406,5",2,1,1,"1,64",1,6969406.5
3399203,0,1,1,"1,64",1,3399203
3037068,1,1,1,"1,64",1,3037068
"6995273,5",2,1,1,"1,64",1,6995273.5
7469488,2,1,1,"1,64",1,7469488
3239550,1,1,1,"1,64",1,3239550
"3499009,6",0,1,1,"1,64",1,3499009.6
3163340,1,1,1,"1,64",1,3163340
"3652627,8",0,1,1,"1,64",1,3652627.8
"7769619,5",2,1,1,"1,64",1,7769619.5
3222312,1,1,1,"1,64",1,3222312
"3689895,2",0,1,1,"1,64",1,3689895.2
"8134333,5",2,1,1,"1,64",1,8134333.5
"3807359,2",0,1,1,"1,64",1,3807359.2
"8152001,5",2,1,1,"1,64",1,8152001.5
3512962,1,1,1,"1,64",1,3512962
8371742,2,1,1,"1,64",1,8371742
3579230,1,1,1,"1,64",1,3579230
3407491,1,1,1,"1,64",1,3407491
4085415,0,1,1,"1,64",1,4085415
3941338,0,1,"0,9984665517","1,64",0.9984665517,3941338
"8726836,5",2,1,1,"1,64",1,8726836.5
"4200714,4",0,1,1,"1,64",1,4200714.4
