Edad;Género;Nacionalidad;Barrio/Localidad;Tipo de vacación preferida;Estilo de música preferido;Género preferido de películas;Deporte preferido;Hobbie preferido;¿En que rubro trabajás o te gustaría trabajar?;¿Qué esperas de la carrera?;¿Qué esperas de la materia? ¿Qué temas quisieras ver?;¿Qué algoritmos conocés?;¿Sobre qué temas trabajaste en los TPs de Análisis Predictivo?;¿Qué película te gustó más o quisieras ver primero?
20;Femenino;Argentina;Recoleta;Montaña;Pop;Romántica;Otro;Netflix;No se ;Adquirir habilidades para poder aplicar en el futuro;Aprender, poder desarrollar y aplicar modelos predictivos en diferentes contextos;XGBoost - RF - Arboles - SVM ;Riesgo de enfermedades cardiovasculares - películas - Formula 1;Barbie
21;Femenino;Argentinaa;Caballito;Montaña;Pop;Romántica;Fútbol;Ir al gimnasio;Estoy descubriendolo, todavía no se y como estoy terminando la carrera me da un poco de ansiedad el tema. Si se que me gustaría ;Ya la estoy terminando y lo que espero es que me abra las puertas y que nos permita trabajar en muchos rubros ;Me gusto la materia anterior y por eso me anote. No hay un tema en específico que quisiera ver. ;Vimos varios en la materia anterior, sobre todo modelos basados en arboles como random forest o xg boost;;
20;Femenino;Argentina;Caballito;Playa;Pop;Romántica;Otro;Cantar ;Todavía no se ;Que me brinde una buena salida laboral, herramientas, habilidades y conocimientos útiles e interesantes.;Espero aprender mucho más sobre el análisis predictivo, nuevos modelos y técnicas como la optimización bayesiana.;SVM, XGBoost, CatBoost, LightGBM, KNN, Random Forest, Regresión Logística, entre otros.;Defaults en un banco y ratings de películas ;Barbie
21;Femenino;Argentina;Tigre;Playa;Pop;Acción;No me interesa ningún deporte;Leer;Me gustaría conocer muchos rubros distintos a lo largo de mi carrera profesional, para luego poder tener una consultora basada en Data;Que me forme de manera que logre destacarme entre otros profesionales del misma área de otras universidades;Espero que la materia me siga “alimentando” esa curiosidad que me despertó Análisis Predictivo por todos los modelos de Machine Learning y los conceptos de predicción en si ;Los usados en análisis predictivo (árboles, random forest, xgboost, light gbm, regresión lineal y logística, catboost y seguramente me olvido de alguno);En el primer TP realizamos el EDA para un dataset que contenía información al respecto del desempeño de alumnos en una escuela de Chicago, y para el segundo TP utilizamos todos el mismo, que trataba sobre predicción de churn en una industria bancaria ;Oppenheimer
21;Masculino;Argentina;Ituzaingó;Ciudad;Pop;Drama;Fútbol;Practicar un deporte;Data Science;Aprender sobre diversas metodologías de análisis de datos y diversificar mis conocimientos en diferentes aplicaciones, lenguajes, metodologías, métricas...;Me gustaría ver (o al menos nombrar para investigar por nuestra cuenta) modelos predictivos más complejos, aquellos más utilizados en la industria. También trabajar con tipos de Datos menos comunes como datos geográficos, imágenes, videos.;Conozco algoritmos predictivos de clasificación, regresión, clustering;Trabajamos con múltiples modelos predictivos, pipelines, diversas métricas de medición de la predicción, métodos de transformación de variables;Oppenheimer
25;Masculino;Argentino;Avellaneda;Playa;Otro;Ciencia ficción;Otro;Practicar un deporte;Data analysis;Salir con conocimientos actualizados y competentes de lo que se pide hoy en dia en los trabajos;Ml;Random forest, regresion logistica, svm, redes neuronales;Sinceramente no me acuerdo;Oppenheimer
22;Masculino;Argentina;Recoleta;Playa;Rock;Drama;No me interesa ningún deporte;Tocar un instrumento/Bailar;Deportes;Trabajo remoto y herramientas modernas;Herramientas útiles para freelance;SVM;Éxito de canciones en Spotify;Oppenheimer
22;Femenino;Argentina ;Belgrano;Ciudad;Rock;Suspenso/Terror;Otro;Leer;Data science en industria automotriz ;Que me abra las puertas para aplicar la ciencia de datos en cualquier rubro de mi interés ;Me gustaría profundizar sobre distintos algoritmos de predicción, comprender un poco la base matemática y estadística de los mismos y conocer el trasfondo del funcionamiento más allá del código;Random Forest, XGBOOST, LightGBM, SVM;1. Predecir si una persona es fumadora o no en base a distintos indicadores de salud;
24;Masculino;Argentina;Núñez;Montaña;Otro;Ciencia ficción;Otro;Opción 3, 4 y 6;Idealmente Data engineering o Data Science. Sino cualquier posición de toma de decisiones orientados a los datos.;Proveerme con las herramientas necesarias para ayudar a cumplir mis metas laborales y financieras.;Profundizar en conceptos de estadística aplicada a los modelos predictivos. Entender aún mejor el funcionamiento detrás de los algoritmos que hoy en día son cotidianos (como por ejemplo, los sistemas de recomendación que usa Spotify, Youtube, etc).;Puede ser muy amplia la respuesta, ya que podría ser un algoritmo como el Algoritmo de Porter, o, los algoritmos que hay detrás de los modelos como XGBoost, SGD, etc.;Análisis y predicción de atrasos en los vuelos nacionales en EEUU.;
21;Masculino;Argentina;Once;Ciudad;Reggaeton/Trap/Cumbia;Comedia;Fútbol;Escuchar música;Petróleo;Seguir puliendo temas en lo que me queda de la carrera;Profundizar los temas vistos en Análisis Predictivo y aprender más algoritmos de predicción;Árboles (Decision Tree, Random Forest, XGBoost, etc.), kNN, SVM, Regresión Lineal y Regresión Logística;Chrun de una compañía de Telecomunicaciones y de un Banco;Oppenheimer
22;Masculino;argentino;Colegiales;Montaña;Pop;Drama;Fútbol;Practicar un deporte;Seguros;Que me de los fundamentos y las bases para poder desarrollarme en cualquier área de Data;Ir más en detalle en el proceso del modelado y de la evaluación ;Regresión lineal, logística, svm, algoritmos basados en árboles, knn, un poco de redes neuronales;Dataset de fumadores y otro de intención de compra en una página web;Oppenheimer
22;Femenino;Argentina;Belgrano;Playa;Reggaeton/Trap/Cumbia;Comedia;Fútbol;Practicar un deporte;Consultoría ;Aprender herramientas para desarrollarme en el mundo profesional;Aprender a utilizar modelos predictivos avanzados y como evaluar los resultados de los mismos;;Hoteleria;Barbie
21;Masculino;Argentino;Villa Crespo;Playa;Pop;Comedia;Fútbol;Practicar un deporte;Deportes;Espero que me de las herramientas para poder aprender a tomar decisiones fundadas, aprendiendo de tecnología y de negocios;Espero aprender técnicas extras para mejorar el rendimiento de modelos predictivos, fundamental para nuestra carrera de data analists;Los vistos en la materia de análisis predictivo (random forest, XgBoost, etc);En el TP del primer parcial como para el final, sobre los alumnos de una universidad y cuánto tardaban en recibirse. La variable target tenía 3 tipos: graduados, estudiando, o que dejaron la carrera.;Barbie
21;Masculino;Argentina;Berazategui;Playa;Rock;Drama;Fútbol;Tocar un instrumento/Bailar;Cliente y Desarrollo de Nuevos Negocios (B2B);"Poder profundizar mi conocimiento en el mundo de los datos y como analizarlos, viendo mas alla de los numeros. Saber como ""exprimir el jugo"" de los datos, viendolos desde varias perspectivas para poder entender como explican o afectan.";Poder profundizar los temas vistos en Analisis Predictivo, viendo nuevos algoritmos o saber como optimizarlos mejor.;Regresion Logistica, SVM, XGBoost, LightGBM, Redes Neuronales, Arboles de Decision, ;En el primer TP y en el examen final trabaje sobre un dataset de una Telco, haciendo un EDA profundo y modelos predictivos para poder predecir si un cliente se iba o no. ;Oppenheimer
24;Masculino;Argentina;Juan Maria Gutierrez;Montaña;Otro;Drama;Fútbol;Leer;Agro;Aprender un poco mas de visualización de datod;Ns/nc;Algoritmos de ordenamiento ;No me acuerdo;Oppenheimer
22;Femenino;Argentina;Recoleta;Playa;Pop;Comedia;Fútbol;Tocar un instrumento/Bailar;Finanzas;Espero poder seguir aprendiendo distintas formas de aplicar data science a diferentes ámbitos y tener conocimiento sobre más herramientas, algoritmos y técnicas que se usan en la actualidad.;Me gustaría aprender más sobre distintos algoritmos que se utilizan en la actualidad, algunos que se que se utilizan son, por ejemplo, modelos de deep learning, redes neuronales;Regresión lineal, regresión logística, árboles de decisión, randomforest, Gradient Boosting, XGBoost, LightGBM, SVM, KNN, Catboost;Deserción de empleados y churn bancario;Oppenheimer
21;Masculino;Argentina;Villa Crespo;Playa;Otro;Acción;Fútbol;Practicar un deporte;Seguros;Que me prepare para destacarme frente a la competencia en mi carrera laboral;Me gustaria ver valor de acciones, series de tiempo;Regresión, Regresion Logística, LDA, QDA, Arboles de decisión, KNN;Notas de estudiantes y Churn bancario;Oppenheimer
21;Femenino;Argentina;Belgrano;Playa;Pop;Drama;No me interesa ningún deporte;Tocar un instrumento/Bailar;Contabilidad;Adquirir habilidades, herramientas, desarrollar la capacidad de tomar decisiones y saber cómo abordar un problema cuando se me plantea. Aportar valor al lugar donde trabaje.;Profundizar en modelos predictivos. Ver casos prácticos reales.;Regresión. Árboles de decisón. Random Forest. Redes neuronales (DL). K-means. Etc.;Fraude en transacciones con tarjetas de crédito. Churn bancario.;Barbie
