CT,Proveedor,Modelo,zServicio,z,CostoTotal/VentasTotales,,
1661770,1,1,"0,987","1,64",1661770,"0,987",1661770
1658860,1,1,"0,987","1,64",1658860,"0,987",1658860
1645340,1,1,"0,979","1,64",1645340,"0,979",1645340
1636100,1,1,"0,989","1,64",1636100,"0,989",1636100
1649905,1,1,"0,988","1,64",1649905,"0,988",1649905
1662175,1,1,"0,987","1,64",1662175,"0,987",1662175
1657445,1,1,"0,986","1,64",1657445,"0,986",1657445
1637505,1,1,"0,985","1,64",1637505,"0,985",1637505
1646475,1,1,"0,985","1,64",1646475,"0,985",1646475
1645720,1,1,"0,986","1,64",1645720,"0,986",1645720
1655080,1,1,"0,988","1,64",1655080,"0,988",1655080
1642305,1,1,"0,983","1,64",1642305,"0,983",1642305
1609560,1,1,"0,977","1,64",1609560,"0,977",1609560
3616392,2,1,"0,995","1,64",3616392,"0,995",3616392
3634384,2,1,"1,000","1,64",3634384,"1,000",3634384
3590204,2,1,"0,998","1,64",3590204,"0,998",3590204
3578365,2,1,"0,990","1,64",3578365,"0,990",3578365
"3646909,5",2,1,"1,000","1,64","3646909,5","1,000",3646909.5
"3572336,5",2,1,"0,998","1,64","3572336,5","0,998",3572336.5
3580907,2,1,"0,989","1,64",3580907,"0,989",3580907
"3592136,5",2,1,"1,000","1,64","3592136,5","1,000",3592136.5
3660351,2,1,"1,000","1,64",3660351,"1,000",3660351
"3565099,5",2,1,"0,998","1,64","3565099,5","0,998",3565099.5
"3618787,5",2,1,"0,997","1,64","3618787,5","0,997",3618787.5
"3615113,5",2,1,"0,997","1,64","3615113,5","0,997",3615113.5
3637792,2,1,"0,998","1,64",3637792,"0,998",3637792
"3598579,5",2,1,"1,000","1,64","3598579,5","1,000",3598579.5
3590971,2,1,"0,996","1,64",3590971,"0,996",3590971
"3593622,5",2,1,"0,991","1,64","3593622,5","0,991",3593622.5
3617055,2,1,"1,000","1,64",3617055,"1,000",3617055
"3618885,5",2,1,"0,998","1,64","3618885,5","0,998",3618885.5
"3591340,5",2,1,"0,997","1,64","3591340,5","0,997",3591340.5
"3629896,5",2,1,"1,000","1,64","3629896,5","1,000",3629896.5
3655738,2,1,"0,997","1,64",3655738,"0,997",3655738
"3611960,5",2,1,"1,000","1,64","3611960,5","1,000",3611960.5
3661695,2,1,"0,998","1,64",3661695,"0,998",3661695
"3617054,5",2,1,"1,000","1,64","3617054,5","1,000",3617054.5
"3611876,5",2,1,"1,000","1,64","3611876,5","1,000",3611876.5
"3642164,5",2,1,"0,999","1,64","3642164,5","0,999",3642164.5
"3609884,5",2,1,"0,997","1,64","3609884,5","0,997",3609884.5
3635884,2,1,"0,994","1,64",3635884,"0,994",3635884
3583663,2,1,"0,993","1,64",3583663,"0,993",3583663
3565581,2,1,"1,000","1,64",3565581,"1,000",3565581
